"","X","LONG","LAT","Examined","Positive","Prevalence","ID","elevation","annual_mean_temperature","annual_diurnal_range","isothermality","temperature_seasonality","maximum_temperature_warmest_month","minimum_temperature_coldest_month","temperature_annual_range","mean_temperature_wettest_quarter","mean_temperature_driest_quarter","mean_temperature_warmest_quarter","mean_temperature_coldest_quarter","annual_precpitation","precipitation_wettest_month","precipitation_driest_month","precipitation_seasonality","precipitation_wettest_quarter","precipitation_dreist_quarter","precipitation_warmest_quarter","precipitation_coldest_quarter","LST_day_01","LST_night_01","slope","NDVI01_GT_utm","EVI01_GT_utm","LC01_GT_utm","FC_GT_utm","TCW01_GT_utm","SM0001_GT_utm","distwater_GT_utm","popden0001_GT_utm","housing2001_GT_utm","nightlights0001_GT_utm"
"11",21,659674.134963209,921072.915975968,225,44,0.195555556,11,129.77880859375,277,109,68,1394.07702636719,365,205.182083129883,159.817916870117,263,282.182098388672,297,259.004608154297,1185.82934570312,212.974716186523,4,69,478.172882080078,24,206.817916870117,471.152191162109,30.4227523803711,20.9357814788818,0.115775369107723,0.514853358268738,0.31444925069809,9,2.32667326927185,-0.186857089400291,61.7943305969238,2.75441741943359,16.0367622375488,0.0502659529447556,0
"12",22,590299.017900277,917556.841556279,601,224,0.372712146,12,168.453979492188,271.576446533203,104.42537689209,67,1375.67944335938,357.056121826172,202.494094848633,154.562042236328,258.880645751953,275.548400878906,291.056121826172,254.576461791992,1157.16015625,197.369247436523,4,66,447.395477294922,32.9176406860352,223.423538208008,421.738494873047,30.7827320098877,21.4937496185303,0.965510249137878,0.49500635266304,0.322897881269455,10,6.02953004837036,-0.184371799230576,31.63303565979,5.34132766723633,9.22716522216797,0.0713701248168945,0
"13",23,599101.810663221,920892.925508985,28,9,0.321428571,13,165.834747314453,272,105.335227966309,66.9292068481445,1388.89208984375,358.378295898438,202.307510375977,156.070785522461,257.406005859375,276,292,255,1164.91381835938,201,4,66.0430755615234,454.378295898438,32,219.692489624023,432.264434814453,32.2714195251465,21.3754463195801,0.357217133045197,0.453281283378601,0.283345580101013,10,9.79691314697266,-0.206667348742485,32.8657073974609,2.48527407646179,9.22716522216797,0.0508884079754353,0
"14",24,592531.768408339,903188.089855407,74,35,0.472972973,14,100.672920227051,275.936645507812,103,67,1335.03173828125,360.319580078125,208,152.319595336914,282,279.319580078125,295,259.936645507812,1156.61706542969,192.319595336914,4,65.3195877075195,451,33.7824821472168,228.680404663086,406.217529296875,31.7127151489258,21.1497936248779,0.21985886991024,0.473031640052795,0.291398853063583,10,71990.5625,-0.186150386929512,32.7210922241211,0.518424212932587,21.3501586914062,0.0482478216290474,0
"15",25,641127.519074249,864613.173902009,211,71,0.336492891,15,235.329483032227,264.719512939453,102.167221069336,68.3344345092773,1264.67651367188,348.498352050781,200.665557861328,147.832778930664,269.498352050781,269.719512939453,282.719512939453,249.498352050781,1272.15112304688,202.555603027344,6.16721868515015,62.8327827453613,484.501647949219,41.3344383239746,261.447692871094,425.867279052734,30.1681480407715,19.7131576538086,0.602132976055145,0.540168464183807,0.345327109098434,9,65.74072265625,-0.18185943365097,42.6624984741211,1.7154393196106,39.7565574645996,0.0650691613554955,0
"16",26,601355.085973467,898784.682623064,236,8,0.033898305,16,118.395385742188,274.763092041016,103,67.4284057617188,1348.90979003906,359.571594238281,207.893142700195,151.678451538086,280.763092041016,279.357879638672,294.464752197266,258.763092041016,1179.17419433594,195.535263061523,4,65.3578948974609,458.819458007812,34.7016639709473,233.284210205078,410.535247802734,32.0603866577148,21.3922882080078,0.770247519016266,0.457049280405045,0.288225710391998,10,1.32009327411652,-0.198536962270737,35.6804351806641,1.37738978862762,39.7485122680664,0.0517387315630913,0
"17",27,810225.528407378,939063.505828886,279,116,0.415770609,17,120.698455810547,277.050750732422,113,66,1383.24926757812,366.580474853516,197.050735473633,169.529739379883,259.52099609375,281.9775390625,296.753662109375,259.52099609375,1222.25854492188,237.246353149414,5,75.7536468505859,576.665893554688,24.1731624603271,159.419509887695,576.665893554688,32.5984497070312,20.9029998779297,0.595125138759613,0.470506012439728,0.304286658763885,10,8.91111373901367,-0.216856956481934,152.420837402344,1.43203949928284,37.2756233215332,0.0560348965227604,0
"18",29,718231.10521972,885928.964686184,212,14,0.066037736,18,90.3355255126953,278,109,69,1312.31433105469,364,207.129348754883,156.870651245117,262.681823730469,283,296.902069091797,262,1199.95458984375,210,5,68,479.097930908203,27,202,478.856597900391,31.8726577758789,20.9927635192871,0.127393454313278,0.513532102108002,0.309442818164825,10,2829.20458984375,-0.189511701464653,102.464164733887,0.235332772135735,23.8717823028564,0.0407678373157978,0
"19",30,684155.243535265,860340.019722486,290,40,0.137931034,19,132.366821289062,274.305755615234,106,69.2505340576172,1249.84313964844,358.055236816406,206.305770874023,151.749465942383,267.360992431641,279.305755615234,292.055236816406,259.055236816406,1216.33325195312,199,6,64,467,33.6942329406738,233.583770751953,434.749450683594,30.5437717437744,20.5510997772217,1.12069666385651,0.519651651382446,0.337581992149353,9,147.717498779297,-0.177680090069771,52.894603729248,0.74221658706665,29.3791542053223,0.0516998916864395,0
"20",34,575969.077979697,925268.884355378,116,47,0.405172414,20,122.654075622559,274.937194824219,105,66,1381.86877441406,361,203.937194824219,157.062805175781,281,278.855072021484,295,258,1116.62951660156,192,3.62952065467834,66,432,30.7116622924805,212.082138061523,413.917846679688,29.0635375976562,23.3614139556885,0.35812970995903,0.472204178571701,0.286321401596069,9,5057.8837890625,-0.155661970376968,25.8999996185303,0.45089989900589,21.6256847381592,0.0356785319745541,0
